meso_ID,depth,Date,Time,Temp °C,Cond µS/cm,nLF Cond µS/cm,SpCond µS/cm,TDS mg/L,Sal psu,ODO % sat,ODO mg/L,Press psi a,pH,pH mV,ORP mV,ORP raw mV,Depth m,Turbidity FNU,TSS mg/L,Chlorophyll RFU,Chlorophyll µg/L,BGA-PC RFU,BGA-PC µg/L,fDOM RFU,fDOM QSU,Cable Pwr V,Battery V,Longitude Degrees,Latitude Degrees,ODO % EU,Baro mmHg
test,NA,08/21/2017,13:50:52,18.8,0.3,0.3,0.3,0,0,101.3,9.43,0.155,5.89,64.6,192.8,192.8,0.109,2.98,0,0.11,0.38,0.59,0.58,0.92,2.26,0,5.5,18.631001,59.836315,101.5,758.1
12,1,08/21/2017,14:06:06,18.963,253.2,289.1,286.2,186,0.14,105.9,9.82,0.286,8.93,-113,174.8,174.8,0.202,0.88,0,0.2,0.76,0.03,0.01,13.06,38.77,0,5.4,18.630966,59.836384,106.2,758.1
12,2,08/21/2017,14:07:33,18.393,250.2,289.6,286.4,186,0.14,100.8,9.46,1.318,8.91,-111.6,165,165,0.928,0.93,0,0.34,1.32,0.05,0.03,13.47,40,0,5.4,18.630983,59.836384,101.1,758.1
12,3,08/21/2017,14:08:48,18.298,249.6,289.5,286.2,186,0.14,99.6,9.37,1.835,8.9,-111.2,158.7,158.7,1.292,0.94,0,0.28,1.08,0.03,0.02,13.46,39.95,0,5.4,18.631018,59.836384,99.9,758.2
8,1,08/21/2017,14:10:48,19.204,255.3,290,287.1,187,0.14,106.1,9.8,0.225,8.95,-114.4,151.5,151.5,0.159,0.45,0,0.12,0.42,0.03,0.02,12.78,37.93,0,5.4,18.63105,59.836349,106.4,758.1
8,2,08/21/2017,14:12:19,18.509,252.1,290.9,287.8,187,0.14,100.4,9.4,1.32,8.88,-110.1,147.5,147.5,0.929,0.46,0,0.14,0.5,0.01,0,12.94,38.39,0,5.4,18.63105,59.836349,100.7,758.2
8,3,08/21/2017,14:13:18,18.423,251.4,290.8,287.6,187,0.14,99.6,9.34,1.838,8.87,-109.4,145.3,145.3,1.294,0.45,0,0.13,0.48,0.03,0.02,12.97,38.49,0,5.4,18.63105,59.836349,99.9,758.1
5,1,08/21/2017,14:56:59,19.453,221.2,249.8,247.4,161,0.12,133.3,12.25,0.207,9.77,-162.4,181.9,181.9,0.146,1.25,0,0.36,1.4,0.09,0.08,15.94,47.44,0,5.3,18.631018,59.836349,133.7,758.2
5,2,08/21/2017,14:58:22,18.571,220.2,253.8,251.1,163,0.12,94.2,8.81,1.324,9.45,-143.2,171.1,171.1,0.933,1.65,0,0.43,1.67,0.16,0.15,16.6,49.41,0,5.3,18.63105,59.836334,94.5,758.3
5,3,08/21/2017,14:59:38,18.425,219.6,253.9,251.1,163,0.12,91.4,8.57,1.832,9.43,-142.1,163.8,163.8,1.29,1.52,0,0.46,1.78,0.16,0.15,16.67,49.61,0,5.3,18.631018,59.836349,91.6,758.3
4,1,08/21/2017,15:14:27,19.495,219.4,247.6,245.2,159,0.12,157.5,14.46,0.208,9.87,-168,159.4,159.4,0.146,0.65,0,0.27,1.03,0.07,0.06,14.92,44.35,0,5.3,18.63105,59.836369,157.9,758.2
4,2,08/21/2017,15:15:48,18.513,218.3,251.9,249.2,162,0.12,124.7,11.68,1.392,9.61,-152.6,144.7,144.7,0.98,0.93,0,0.33,1.29,0.13,0.12,15.36,45.69,0,5.3,18.63105,59.836369,125,758.2
4,3,08/21/2017,15:17:05,18.385,217.6,251.9,249.1,162,0.12,121.8,11.44,1.856,9.59,-151,134.7,134.7,1.307,1.03,0,0.34,1.31,0.13,0.11,15.43,45.89,0,5.3,18.631018,59.836369,122.1,758.1
7,1,08/21/2017,15:34:43,19.36,245.7,278,275.3,179,0.13,142.5,13.11,0.213,10.01,-176.1,155.1,155.1,0.15,0.92,0,0.33,1.26,0.1,0.09,15.52,46.17,0,5.3,18.631067,59.836334,142.8,758.2
7,2,08/21/2017,15:36:02,18.537,243.3,280.7,277.6,180,0.13,111.8,10.46,1.367,9.78,-162.6,144.5,144.5,0.962,1.03,0,0.36,1.39,0.13,0.12,16.13,48,0,5.3,18.631067,59.836315,112,758.3
7,3,08/21/2017,15:37:12,18.381,242.6,280.8,277.7,181,0.13,106.9,10.04,1.873,9.76,-161.1,138.4,138.4,1.319,1.24,0,0.4,1.56,0.13,0.12,16.17,48.11,0,5.3,18.631033,59.836315,107.2,758.2
10,1,08/21/2017,15:51:42,19.632,247.3,278.2,275.6,179,0.13,181.8,16.64,0.26,10.32,-194.5,143,143,0.183,0.38,0,0.73,2.88,0.5,0.49,14.04,41.72,0,5.2,18.631033,59.836285,182.2,758.1
10,2,08/21/2017,15:52:45,18.709,240.1,275.8,272.9,177,0.13,151.6,14.14,1.27,10.12,-182.2,124.5,124.5,0.894,0.34,0,0.28,1.09,0.12,0.11,14.63,43.49,0,5.2,18.631001,59.836285,152,758.2
